Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,7654.000000,7748.500000,7650.000000,7691.299805,7521.799316,767574
2021-01-04,7739.000000,7755.200195,7642.600098,7702.299805,7532.556641,598645
2021-01-05,7660.000000,7673.000000,7586.000000,7655.450195,7486.739258,562668
2021-01-06,7654.000000,7749.000000,7555.500000,7628.600098,7460.480957,840678
2021-01-07,7676.000000,7704.399902,7552.100098,7566.049805,7399.309082,642968
2021-01-08,7600.000000,8060.000000,7600.000000,8014.899902,7838.267578,2557157
2021-01-11,8099.000000,8288.000000,7882.399902,8232.750000,8051.316406,2182019
2021-01-12,8161.000000,8329.000000,8140.000000,8188.049805,8007.601563,1514072
2021-01-13,8188.000000,8250.000000,8111.000000,8139.850098,7960.463867,877225
2021-01-14,8164.799805,8180.000000,8023.450195,8149.450195,7969.852539,718274
2021-01-15,8157.149902,8219.500000,8000.049805,8024.750000,7847.900391,751177
2021-01-18,8011.000000,8023.950195,7745.000000,7830.649902,7658.078125,771183
2021-01-19,7900.000000,7990.299805,7835.000000,7922.600098,7748.001465,779892
2021-01-20,7882.000000,8170.000000,7860.250000,8144.950195,7965.451660,999226
2021-01-21,8205.000000,8267.000000,8021.450195,8076.750000,7898.754395,769494
2021-01-22,8085.000000,8308.000000,8000.000000,8048.850098,7871.469727,1172914
2021-01-25,8117.000000,8164.700195,7950.100098,7981.500000,7805.603516,753043
2021-01-27,7992.950195,8090.000000,7820.500000,7870.899902,7697.440918,1080785
2021-01-28,7840.000000,7984.549805,7562.000000,7588.500000,7421.264160,2085637
2021-01-29,7685.000000,7685.000000,7170.000000,7206.649902,7047.829590,3069968
2021-02-01,7265.200195,7475.000000,7152.000000,7399.799805,7236.723145,1611478
2021-02-02,7534.899902,7769.750000,7490.149902,7654.700195,7486.005859,1700845
2021-02-03,7680.000000,7716.450195,7475.850098,7589.200195,7421.949219,1491567
2021-02-04,7600.000000,7765.000000,7529.049805,7640.000000,7471.629883,1198036
2021-02-05,7680.000000,7736.000000,7461.000000,7494.149902,7328.994141,1128089
2021-02-08,7515.000000,7638.000000,7474.500000,7574.600098,7407.670898,912372
2021-02-09,7581.000000,7680.000000,7574.000000,7627.049805,7458.964844,925127
2021-02-10,7605.200195,7674.899902,7506.049805,7621.700195,7453.732910,1015600
2021-02-11,7600.000000,7744.000000,7567.649902,7667.350098,7498.376953,818869
2021-02-12,7620.100098,7675.000000,7525.899902,7568.500000,7401.705566,756833
2021-02-15,7600.000000,7649.100098,7580.000000,7596.649902,7429.235352,470093
2021-02-16,7639.000000,7799.000000,7625.250000,7697.049805,7527.421875,1321126
2021-02-17,7679.950195,7691.500000,7471.299805,7503.200195,7337.844727,1023548
2021-02-18,7574.850098,7579.049805,7460.000000,7497.549805,7332.318359,821462
2021-02-19,7448.000000,7486.399902,7285.000000,7323.000000,7161.615234,1013887
2021-02-22,7323.000000,7325.000000,7056.000000,7086.450195,6930.278809,1502068
2021-02-23,7118.799805,7122.350098,6938.000000,6970.500000,6816.883789,1589884
2021-02-24,6905.000000,7036.000000,6877.500000,6952.950195,6799.721191,1225254
2021-02-25,7065.000000,7069.000000,6915.000000,6930.350098,6777.619141,1740066
2021-02-26,6900.000000,7075.000000,6822.200195,6866.149902,6714.833496,2687534
2021-03-01,6977.000000,7032.850098,6917.049805,7015.000000,6860.403809,1417600
2021-03-02,7060.000000,7235.000000,7030.000000,7214.100098,7055.115723,1395296
2021-03-03,7245.600098,7262.299805,7101.200195,7124.700195,6967.686035,796258
2021-03-04,7080.000000,7175.200195,7011.000000,7131.600098,6974.434082,906310
2021-03-05,7130.000000,7315.000000,7070.000000,7249.000000,7089.246094,1821165
2021-03-08,7264.899902,7338.799805,7216.000000,7259.500000,7099.515137,977572
2021-03-09,7329.399902,7329.399902,7256.000000,7301.549805,7140.638672,678485
2021-03-10,7320.000000,7387.000000,7251.000000,7272.100098,7111.837891,659270
2021-03-12,7300.000000,7313.000000,7061.399902,7096.200195,6939.813965,946720
2021-03-15,7145.000000,7162.950195,7011.000000,7089.299805,6933.065918,700250
2021-03-16,7100.000000,7200.000000,7100.000000,7150.299805,6992.721191,796357
2021-03-17,7160.000000,7169.950195,7043.500000,7064.649902,6908.958984,688581
2021-03-18,7125.000000,7242.000000,7060.000000,7113.750000,6956.977051,984545
2021-03-19,7059.950195,7149.950195,6905.500000,7113.549805,6956.781250,838756
2021-03-22,7104.000000,7142.500000,7050.200195,7101.250000,6944.752441,533767
2021-03-23,7138.000000,7225.000000,7130.000000,7186.250000,7027.879883,757590
2021-03-24,7136.000000,7158.399902,7049.950195,7066.200195,6910.475586,457147
2021-03-25,7050.000000,7059.000000,6755.250000,6786.850098,6637.281738,1338767
2021-03-26,6889.000000,6898.950195,6771.000000,6784.450195,6634.934570,911299
